source,row_type,scenario,phase,category,bucket_tokens,decode_batch,latency_ms,sample_count,window_list,kernel_source,provenance,coverage_note,mechanism_verdict,phase438_target,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,other_cuda,2,2,1.566289,8,mixed_isl64k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,other_cuda,16,16,1.698132,8,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,other_cuda,60,60,2.423353,8,mixed_isl2k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,decode,other_cuda,64,64,2.416744,8,mixed_isl2k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,ep_a2a,4016,16,16.957455,4,mixed_isl4k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,ep_a2a,8000,33,236.986735,4,cross_bt8000_mixed_8k,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,ep_a2a,8000,34,240.017037,4,cross_bt8000_mixed_8k,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,ep_a2a,48005,5,98.197646,4,mixed_isl16k_c64,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,ep_a2a,48010,10,99.119577,4,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,ep_a2a,56009,9,113.935148,4,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,ep_a2a,64001,1,1071.026146,16,"mixed_isl16k_c64,mixed_isl4k_c128,mixed_isl64k_c128",phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,moe_gemm_or_aux,4016,16,1326.591215,4,mixed_isl4k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,moe_gemm_or_aux,8000,33,331.304282,4,cross_bt8000_mixed_8k,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,moe_gemm_or_aux,8000,34,324.733640,4,cross_bt8000_mixed_8k,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,moe_gemm_or_aux,48005,5,2124.795587,4,mixed_isl16k_c64,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,moe_gemm_or_aux,48010,10,2029.831987,4,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,moe_gemm_or_aux,56009,9,1962.198029,4,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,moe_gemm_or_aux,64001,1,2224.772175,16,"mixed_isl16k_c64,mixed_isl4k_c128,mixed_isl64k_c128",phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,other_cuda,4016,16,2484.878020,4,mixed_isl4k_c128,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,other_cuda,8000,33,165.572590,4,cross_bt8000_mixed_8k,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,other_cuda,8000,34,166.073530,4,cross_bt8000_mixed_8k,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,other_cuda,48005,5,3015.622222,4,mixed_isl16k_c64,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,other_cuda,48010,10,2566.072112,4,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,other_cuda,56009,9,2991.725381,4,mixed_isl8k_c128_ramp,phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
phase437_serving_state_collect,serving_curve,K2.5-tp4ep8dp2-serving-grid,mixed_prefill,other_cuda,64001,1,1806.325330,16,"mixed_isl16k_c64,mixed_isl4k_c128,mixed_isl64k_c128",phase437_serving_state_collect,phase437_serving_state_collect_step_bucket,measured exact step bucket; no clamp or extrapolation,serving_state_grid_measured_no_extrapolation,hit_audit_validate_ab_and_protocol_decision,true,true,false,true,false,false,No-Go
