source,row_type,config,local_num_heads,tp_size,kv_cache_dtype,batch_size,target_seq_len,randomize_blocks,target_backend,kernel_source,eager6_ms,eager200_p50_ms,graph_p50_ms,serve_attention_ms,serve_per_layer_ms,graph_over_serve,graph_over_eager6,randomize_false_over_true,candidate,verdict,evidence,next_allowed_phase,runtime_modified,write_real_data_file,gate_modified,diagnostic_only,valid_for_default,perf_database,default_readiness
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,64,8192,false,TritonMLAImpl,vllm_triton_mla,0.368304,0.398272,0.355584,16.898100,0.277018,1.283613,0.965463,1.000720,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,64,8192,true,TritonMLAImpl,vllm_triton_mla,0.366240,0.401184,0.355328,16.898100,0.277018,1.282689,0.970205,1.000720,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,64,9001,false,TritonMLAImpl,vllm_triton_mla,0.408091,0.434528,0.391296,16.898100,0.277018,1.412529,0.958845,0.997634,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,64,9001,true,TritonMLAImpl,vllm_triton_mla,0.402005,0.436576,0.392224,16.898100,0.277018,1.415879,0.975669,0.997634,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,64,16384,false,TritonMLAImpl,vllm_triton_mla,0.702427,0.732000,0.690592,16.898100,0.277018,2.492950,0.983151,1.002369,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,64,16384,true,TritonMLAImpl,vllm_triton_mla,0.704731,0.734656,0.688960,16.898100,0.277018,2.487058,0.977621,1.002369,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,128,8192,false,TritonMLAImpl,vllm_triton_mla,0.707195,0.735296,0.693568,16.898100,0.277018,2.503693,0.980731,0.999585,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,128,8192,true,TritonMLAImpl,vllm_triton_mla,0.707856,0.736480,0.693856,16.898100,0.277018,2.504732,0.980222,0.999585,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,128,9001,false,TritonMLAImpl,vllm_triton_mla,0.777845,0.807136,0.764512,16.898100,0.277018,2.759791,0.982859,0.999331,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,128,9001,true,TritonMLAImpl,vllm_triton_mla,0.777909,0.809760,0.765024,16.898100,0.277018,2.761640,0.983436,0.999331,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,128,16384,false,TritonMLAImpl,vllm_triton_mla,1.368715,1.401920,1.356160,16.898100,0.277018,4.895566,0.990827,0.998704,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp8ep8-8k2k,8,16,fp8,128,16384,true,TritonMLAImpl,vllm_triton_mla,1.373269,1.403776,1.357920,16.898100,0.277018,4.901919,0.988823,0.998704,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,64,8192,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.257493,0.271296,0.249504,13.648900,0.223752,1.115089,0.968974,0.986962,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,64,8192,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.244971,0.267520,0.252800,13.648900,0.223752,1.129820,1.031959,0.986962,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,64,9001,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.253003,0.269760,0.245344,13.648900,0.223752,1.096497,0.969728,0.998047,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,64,9001,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.253963,0.270432,0.245824,13.648900,0.223752,1.098643,0.967952,0.998047,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,64,16384,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.441573,0.458528,0.434144,13.648900,0.223752,1.940287,0.983176,0.997794,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,64,16384,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.442603,0.459424,0.435104,13.648900,0.223752,1.944578,0.983057,0.997794,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,128,8192,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.447813,0.462944,0.439328,13.648900,0.223752,1.963456,0.981052,0.998763,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,128,8192,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.447563,0.465376,0.439872,13.648900,0.223752,1.965887,0.982816,0.998763,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,128,9001,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.488459,0.505536,0.481152,13.648900,0.223752,2.150376,0.985041,0.998340,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,128,9001,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.490363,0.506400,0.481952,13.648900,0.223752,2.153952,0.982847,0.998340,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,128,16384,false,FlashAttnMLAImpl,vllm_flash_attn_mla,0.867877,0.889024,0.864256,13.648900,0.223752,3.862554,0.995828,0.998226,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,float16,128,16384,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.869333,0.893536,0.865792,13.648900,0.223752,3.869419,0.995927,0.998226,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,64,8192,false,TritonMLAImpl,vllm_triton_mla,0.374123,0.401920,0.359648,13.648900,0.223752,1.607348,0.961310,0.997692,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,64,8192,true,TritonMLAImpl,vllm_triton_mla,0.369744,0.405568,0.360480,13.648900,0.223752,1.611066,0.974945,0.997692,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,64,9001,false,TritonMLAImpl,vllm_triton_mla,0.410032,0.441088,0.396992,13.648900,0.223752,1.774246,0.968198,0.998873,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,64,9001,true,TritonMLAImpl,vllm_triton_mla,0.408544,0.440960,0.397440,13.648900,0.223752,1.776249,0.972821,0.998873,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,64,16384,false,TritonMLAImpl,vllm_triton_mla,0.710528,0.742432,0.698368,13.648900,0.223752,3.121163,0.982886,0.999267,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,64,16384,true,TritonMLAImpl,vllm_triton_mla,0.713947,0.745664,0.698880,13.648900,0.223752,3.123452,0.978896,0.999267,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,128,8192,false,TritonMLAImpl,vllm_triton_mla,0.715259,0.751264,0.702656,13.648900,0.223752,3.140327,0.982380,0.998681,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,128,8192,true,TritonMLAImpl,vllm_triton_mla,0.716981,0.749696,0.703584,13.648900,0.223752,3.144475,0.981315,0.998681,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,128,9001,false,TritonMLAImpl,vllm_triton_mla,0.791408,0.823424,0.776384,13.648900,0.223752,3.469834,0.981016,0.998888,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,128,9001,true,TritonMLAImpl,vllm_triton_mla,0.795163,0.826048,0.777248,13.648900,0.223752,3.473696,0.977470,0.998888,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,128,16384,false,TritonMLAImpl,vllm_triton_mla,1.389472,1.431712,1.375872,13.648900,0.223752,6.149081,0.990212,0.998838,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,shape_compare,tp4ep8dp2-8k2k,16,8,fp8,128,16384,true,TritonMLAImpl,vllm_triton_mla,1.422485,1.428416,1.377472,13.648900,0.223752,6.156232,0.968356,0.998838,three_way_recollect,diagnostic_only_not_default_evidence,eager6/eager200/graph measured against Phase397l serve per-layer attention,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,decision,tp8ep8-8k2k,8,,float16,128,9001,true,FlashAttnMLAImpl,vllm_flash_attn_mla,0.488960,0.505952,0.481504,16.898100,0.277018,1.738168,0.984751,0.997275,cuda_graph_launch_overhead,timing_method_not_sufficient,graph_p50 stays above 1.7x serve per-layer on the heads=8 batch=128 seq=9001 point,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,decision,,,,,,,,,,,,,,,,,1.013038,randomized_block_layout,randomized_block_layout_not_primary,max graph_p50 randomize false/true delta is 0.0130; layout toggle does not explain the residual,phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,decision,,,,,,,,,,,,,,,,,,fp8_dtype_control,fp8_backend_not_comparable_to_db_flashmla,"Phase397o fp8 recollection uses TritonMLAImpl/vllm_triton_mla because block-size 16 excludes FLASHMLA; it is a side control, not a DB-key replacement",phase397p_attention_recollect_result_analyzer,false,false,false,true,false,false,No-Go
phase397o_mla_recollect_triage,decision,,,,,,,,,,,,,,,,,,phase397q_trigger,B2_kernel_workload_or_serve_seed_difference,CUDA graph and block randomization controls do not collapse heads=8 batch=128 float16 to serve timing; next evidence must reproduce serve seed/layout or collect exact table rows with a matching harness,phase397p_attention_recollect_result_analyzer_then_phase397q_if_confirmed,false,false,false,true,false,false,No-Go
