source,row_type,phase,row_kind,category,bucket_tokens,decode_batch,actual_ms,predicted_ms,error_pct,fold,gate,sample_count,median_error_pct,p90_error_pct,loo_gate,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,15,672.967406,551.575338,18.038328,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,16,552.983502,549.530161,0.624493,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,17,426.092916,551.503201,29.432614,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,18,550.022899,488.333889,11.215717,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,19,550.574862,550.075703,0.090661,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,20,550.128507,550.351098,0.040462,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,21,550.127333,550.567968,0.080097,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,22,551.007428,611.009318,10.889488,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,23,671.891303,551.611445,17.901684,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,24,552.215461,548.935434,0.593976,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,25,425.979565,551.211380,29.398550,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,26,550.207298,488.006112,11.305046,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,27,550.032660,550.234136,0.036630,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,28,550.260974,549.974983,0.051974,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,29,549.917306,550.138702,0.040260,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,30,550.016429,611.053711,11.097356,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,31,672.190115,551.290100,17.985985,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,32,552.563771,559.328033,1.224160,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,33,446.465951,559.978173,25.424609,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,8000,34,567.392574,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,32000,0,1917.743178,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,32000,8,1917.743178,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,48005,5,98.197646,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,48010,10,99.119577,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,56009,9,113.935148,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,ep_a2a,64001,1,1071.026146,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,4016,16,1326.591215,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,1,202.251588,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,2,302.547440,252.534572,16.530587,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,3,302.817556,303.051771,0.077345,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,4,303.556102,303.445587,0.036407,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,5,304.073619,303.986868,0.028530,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,6,304.417634,336.954780,10.688325,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,7,369.835942,303.579816,17.915005,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,8,302.741998,306.527394,1.250370,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,9,243.218846,304.443065,25.172481,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,10,306.144132,274.677792,10.278277,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,11,306.136737,306.196900,0.019652,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,12,306.249668,306.292098,0.013855,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,13,306.447459,306.419654,0.009073,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,14,306.589641,339.144033,10.618230,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,15,371.840608,305.595367,17.815494,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,16,304.601093,307.948998,1.099111,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,17,244.057387,305.796759,25.297071,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,18,306.992424,275.545437,10.243571,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,19,307.033488,307.103503,0.022804,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,20,307.214582,307.263049,0.015776,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,21,307.492610,307.291980,0.065247,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,22,307.369378,340.267019,10.702966,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,23,373.041428,306.122562,17.938722,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,24,304.875747,308.744384,1.268922,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,25,244.447339,306.288337,25.298290,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,26,307.700926,276.090299,10.273166,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,27,307.733258,307.752397,0.006219,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,28,307.803867,307.803369,0.000162,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,29,307.873480,307.853406,0.006520,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,30,307.902945,340.824668,10.692240,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,31,373.775856,306.624701,17.965621,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,32,305.346456,313.426044,2.646040,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,33,253.076233,312.393891,23.438652,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,8000,34,319.441326,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,32000,0,1143.462225,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,32000,8,1143.462225,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,48005,5,2124.795587,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,48010,10,2029.831987,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,56009,9,1962.198029,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,moe_gemm_or_aux,64001,1,2224.772175,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,4016,16,2484.878020,,,frontier,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,1,216.480896,,,interpolation_gap,not_counted,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,2,159.833090,188.176362,17.733044,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,3,159.871829,159.848581,0.014541,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,4,159.864073,159.871625,0.004724,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,5,159.871421,160.025234,0.096210,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,6,160.186395,176.064107,9.912023,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,7,192.256793,160.134831,16.707843,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,8,160.083266,159.905558,0.111009,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,9,127.554324,159.965634,25.409809,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,10,159.848002,143.648248,10.134474,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,11,159.742173,159.904074,0.101351,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,12,159.960146,159.943323,0.010517,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,13,160.144472,159.938952,0.128334,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,14,159.917759,176.276103,10.229223,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,15,192.407734,160.117093,16.782403,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,16,160.316426,159.843552,0.294963,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,17,127.279370,160.336951,25.972458,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,18,160.357475,143.552015,10.479998,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,19,159.824661,160.264596,0.275261,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,20,160.171718,160.016710,0.096776,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,21,160.208760,160.084223,0.077734,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,22,159.996728,176.277481,10.175678,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,23,192.346201,160.357149,16.630977,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,24,160.717571,160.085937,0.393009,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,25,127.825672,160.544867,25.596732,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,26,160.372163,143.786067,10.342254,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,27,159.746461,160.050601,0.190390,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,28,159.729040,159.940760,0.132549,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,29,160.135058,159.632868,0.313604,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,30,159.536695,176.198931,10.444140,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,31,192.262804,159.888082,16.838786,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,32,160.239470,163.536912,2.057822,interior,passed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
phase444_loo_serving_state,loo_detail,mixed_prefill,category,other_cuda,8000,33,134.811021,190.021127,40.953704,interior,failed,,,,,leave_one_out_inner_only,false,false,false,false,false,true,No-Go
