source,row_type,config,model,hardware,backend,vllm_version,workload,num_heads,batch_size,seq_len,kv_cache_dtype,kernel_source,latency_ms_per_layer,sim_total_ms,measured_attention_ms,measured_per_layer_ms,sim_over_measured,anchor_batch_size,anchor_seq_len,anchor_latency_ms_per_layer,anchor_over_measured_per_layer,candidate,verdict,evidence,phase397o_recollect_item,future_gpu_required,next_allowed_phase,runtime_modified,write_real_data_file,gpu_allowed,ssh_allowed,diagnostic_only,valid_for_default,perf_database,default_readiness
phase397n_attention_residual_triage,interp_anchor,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,float16,vllm_flash_attn_mla,,,13.649,0.224,,128,16384,0.859,3.837,,anchor_value_high,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,query_reproduction,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,fp8,vllm_flashmla,0.248,15.138,13.649,0.224,1.109,,,,,,fp8_lower_but_still_overpredicts_tp8,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,fp8,vllm_flashmla,,,13.649,0.224,,64,8192,0.213,0.950,,dtype_control_anchor,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,fp8,vllm_flashmla,,,13.649,0.224,,64,16384,0.403,1.802,,dtype_control_anchor,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,fp8,vllm_flashmla,,,13.649,0.224,,128,8192,0.408,1.825,,dtype_control_anchor,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,interp_anchor,tp4ep8dp2-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,16,69,9001,fp8,vllm_flashmla,,,13.649,0.224,,128,16384,0.791,3.535,,dtype_control_anchor,,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,hypothesis_rank,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,float16,,,,,,,,,,,layer_mtp_count,eliminated_offline,"Kimi-K2.5 nextn=0 gives _mtp_scale_factor=1; GenerationMLA is charged as 61 layers, matching Phase397l.",,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,hypothesis_rank,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,float16,,,,,,,,,,,dtype_key,not_primary,"Runtime kernel is bf16/FlashAttnFwdSm90, mapping to the float16 row. fp8 still predicts 26.981ms vs measured 16.898ms (1.597x).",,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,hypothesis_rank,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,float16,,,,,,,,,,,interp_overshoot,not_primary,Interpolation to s=9001 stays between 8192 and 16384 anchors. The 8192 float16 anchor is already 0.486ms/layer = 1.755x measured per-layer.,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,hypothesis_rank,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,float16,,,,,,,,,,,anchor_microbench_high,primary_hypothesis,Current query gives 0.523ms/layer and 31.891ms total vs 16.898ms measured (1.887x). The nearest low anchor itself is high.,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,hypothesis_rank,tp8ep8-8k2k,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,float16,,,,,,,,,,,collector_workload_method,needs_phase397o,collector/vllm/collect_mla.py times eager forward_mqa with CUDA events and no graph replay (lines 303-317); paged/varlen layout and real serve kernel path need GPU recollection.,,false,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,phase397o_recollect_spec,,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,,,,,,,,,,,,,recollect_microbench_required,"num_heads=8,batch=128,kv_dtype=float16,seq_len around 8192/9001/16384; compare eager DB row vs CUDA-graph replay vs Phase397l serve.",cuda_graph_vs_eager_float16_heads8_b128_s9001,true,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,phase397o_recollect_spec,,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,,,,,,,,,,,,,recollect_microbench_required,"num_heads=8,batch=128,kv_dtype=fp8,seq_len around 8192/9001/16384; dtype control only, not expected primary fix.",cuda_graph_vs_eager_fp8_heads8_b128_s9001,true,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,phase397o_recollect_spec,,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,,,,,,,,,,,,,recollect_microbench_required,"num_heads=16,batch=128,kv_dtype=float16,seq_len around 8192/9001/16384; tp4 head-count control.",cuda_graph_vs_eager_float16_heads16_b128_s9001,true,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,phase397o_recollect_spec,,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,,,,,,,,,,,,,recollect_microbench_required,"num_heads=16,batch=128,kv_dtype=fp8,seq_len around 8192/9001/16384; tp4 head-count dtype control.",cuda_graph_vs_eager_fp8_heads16_b128_s9001,true,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
phase397n_attention_residual_triage,phase397o_recollect_spec,,kimi-k2.5,h200_sxm,vllm,0.19.0,decode_8k2k_b128,,,,,,,,,,,,,,,,recollect_microbench_required,capture attn_metadata/kv-cache layout path close to real decode; classify timing-method vs kernel/workload mismatch.,paged_varlen_layout_match,true,phase397o_recollect_generation_mla_microbench,false,false,false,false,true,false,false,No-Go
