section,metric,value,target,status,note
failure_id,item_011,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen3-0.6B],,historical_unresolved,
failure_id,item_012,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen3-1.7B],,historical_unresolved,
failure_id,item_013,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen3-235B-A22B],,historical_unresolved,
failure_id,item_014,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen3-32B],,historical_unresolved,
failure_id,item_015,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-Qwen/Qwen3-8B],,historical_unresolved,
failure_id,item_016,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-deepseek-ai/DeepSeek-V3],,historical_unresolved,
failure_id,item_017,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-meta-llama/Llama-2-13b-hf],,historical_unresolved,
failure_id,item_018,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-meta-llama/Llama-2-70b-hf],,historical_unresolved,
failure_id,item_019,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-meta-llama/Llama-2-7b-hf],,historical_unresolved,
failure_id,item_020,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-meta-llama/Meta-Llama-3.1-405B],,historical_unresolved,
failure_id,item_021,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-meta-llama/Meta-Llama-3.1-70B],,historical_unresolved,
failure_id,item_022,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-meta-llama/Meta-Llama-3.1-8B],,historical_unresolved,
failure_id,item_023,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-mistralai/Mixtral-8x22B-v0.1],,historical_unresolved,
failure_id,item_024,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-mistralai/Mixtral-8x7B-v0.1],,historical_unresolved,
failure_id,item_025,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-a100_sxm-nvidia/Llama-3_3-Nemotron-Super-49B-v1],,historical_unresolved,
failure_id,item_026,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen2.5-1.5B],,historical_unresolved,
failure_id,item_027,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen2.5-32B],,historical_unresolved,
failure_id,item_028,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen2.5-72B],,historical_unresolved,
failure_id,item_029,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen2.5-7B],,historical_unresolved,
failure_id,item_030,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen3-0.6B],,historical_unresolved,
failure_id,item_031,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen3-1.7B],,historical_unresolved,
failure_id,item_032,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen3-235B-A22B],,historical_unresolved,
failure_id,item_033,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen3-32B],,historical_unresolved,
failure_id,item_034,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-Qwen/Qwen3-8B],,historical_unresolved,
failure_id,item_035,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-deepseek-ai/DeepSeek-V3],,historical_unresolved,
failure_id,item_036,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-meta-llama/Llama-2-13b-hf],,historical_unresolved,
failure_id,item_037,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-meta-llama/Llama-2-70b-hf],,historical_unresolved,
failure_id,item_038,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-meta-llama/Llama-2-7b-hf],,historical_unresolved,
failure_id,item_039,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-meta-llama/Meta-Llama-3.1-405B],,historical_unresolved,
failure_id,item_040,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-meta-llama/Meta-Llama-3.1-70B],,historical_unresolved,
failure_id,item_041,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-meta-llama/Meta-Llama-3.1-8B],,historical_unresolved,
failure_id,item_042,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-mistralai/Mixtral-8x22B-v0.1],,historical_unresolved,
failure_id,item_043,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-mistralai/Mixtral-8x7B-v0.1],,historical_unresolved,
failure_id,item_044,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-b200_sxm-nvidia/Llama-3_3-Nemotron-Super-49B-v1],,historical_unresolved,
failure_id,item_045,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen2.5-1.5B],,historical_unresolved,
failure_id,item_046,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen2.5-32B],,historical_unresolved,
failure_id,item_047,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen2.5-72B],,historical_unresolved,
failure_id,item_048,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen2.5-7B],,historical_unresolved,
failure_id,item_049,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen3-0.6B],,historical_unresolved,
failure_id,item_050,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen3-1.7B],,historical_unresolved,
failure_id,item_051,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen3-235B-A22B],,historical_unresolved,
failure_id,item_052,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen3-32B],,historical_unresolved,
failure_id,item_053,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-Qwen/Qwen3-8B],,historical_unresolved,
failure_id,item_054,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-deepseek-ai/DeepSeek-V3],,historical_unresolved,
failure_id,item_055,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-meta-llama/Llama-2-13b-hf],,historical_unresolved,
failure_id,item_056,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-meta-llama/Llama-2-70b-hf],,historical_unresolved,
failure_id,item_057,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-meta-llama/Llama-2-7b-hf],,historical_unresolved,
failure_id,item_058,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-meta-llama/Meta-Llama-3.1-405B],,historical_unresolved,
failure_id,item_059,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-meta-llama/Meta-Llama-3.1-70B],,historical_unresolved,
failure_id,item_060,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-meta-llama/Meta-Llama-3.1-8B],,historical_unresolved,
failure_id,item_061,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-mistralai/Mixtral-8x22B-v0.1],,historical_unresolved,
failure_id,item_062,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-mistralai/Mixtral-8x7B-v0.1],,historical_unresolved,
failure_id,item_063,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-gb200-nvidia/Llama-3_3-Nemotron-Super-49B-v1],,historical_unresolved,
failure_id,item_064,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen2.5-1.5B],,historical_unresolved,
failure_id,item_065,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen2.5-32B],,historical_unresolved,
failure_id,item_066,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen2.5-72B],,historical_unresolved,
failure_id,item_067,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen2.5-7B],,historical_unresolved,
failure_id,item_068,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen3-0.6B],,historical_unresolved,
failure_id,item_069,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen3-1.7B],,historical_unresolved,
failure_id,item_070,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen3-235B-A22B],,historical_unresolved,
failure_id,item_071,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen3-32B],,historical_unresolved,
failure_id,item_072,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-Qwen/Qwen3-8B],,historical_unresolved,
failure_id,item_073,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-deepseek-ai/DeepSeek-V3],,historical_unresolved,
failure_id,item_074,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-meta-llama/Llama-2-13b-hf],,historical_unresolved,
failure_id,item_075,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-meta-llama/Llama-2-70b-hf],,historical_unresolved,
failure_id,item_076,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-meta-llama/Llama-2-7b-hf],,historical_unresolved,
failure_id,item_077,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-meta-llama/Meta-Llama-3.1-405B],,historical_unresolved,
failure_id,item_078,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-meta-llama/Meta-Llama-3.1-70B],,historical_unresolved,
failure_id,item_079,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-meta-llama/Meta-Llama-3.1-8B],,historical_unresolved,
failure_id,item_080,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-mistralai/Mixtral-8x22B-v0.1],,historical_unresolved,
failure_id,item_081,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-mistralai/Mixtral-8x7B-v0.1],,historical_unresolved,
failure_id,item_082,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h100_sxm-nvidia/Llama-3_3-Nemotron-Super-49B-v1],,historical_unresolved,
failure_id,item_083,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen2.5-1.5B],,historical_unresolved,
failure_id,item_084,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen2.5-32B],,historical_unresolved,
failure_id,item_085,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen2.5-72B],,historical_unresolved,
failure_id,item_086,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen2.5-7B],,historical_unresolved,
failure_id,item_087,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen3-0.6B],,historical_unresolved,
failure_id,item_088,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen3-1.7B],,historical_unresolved,
failure_id,item_089,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen3-235B-A22B],,historical_unresolved,
failure_id,item_090,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen3-32B],,historical_unresolved,
failure_id,item_091,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-Qwen/Qwen3-8B],,historical_unresolved,
failure_id,item_092,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-deepseek-ai/DeepSeek-V3],,historical_unresolved,
failure_id,item_093,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-meta-llama/Llama-2-13b-hf],,historical_unresolved,
failure_id,item_094,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-meta-llama/Llama-2-70b-hf],,historical_unresolved,
failure_id,item_095,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-meta-llama/Llama-2-7b-hf],,historical_unresolved,
failure_id,item_096,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-meta-llama/Meta-Llama-3.1-405B],,historical_unresolved,
failure_id,item_097,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-meta-llama/Meta-Llama-3.1-70B],,historical_unresolved,
failure_id,item_098,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-meta-llama/Meta-Llama-3.1-8B],,historical_unresolved,
failure_id,item_099,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-mistralai/Mixtral-8x22B-v0.1],,historical_unresolved,
failure_id,item_100,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-mistralai/Mixtral-8x7B-v0.1],,historical_unresolved,
failure_id,item_101,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-h200_sxm-nvidia/Llama-3_3-Nemotron-Super-49B-v1],,historical_unresolved,
failure_id,item_102,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen2.5-1.5B],,historical_unresolved,
failure_id,item_103,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen2.5-32B],,historical_unresolved,
failure_id,item_104,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen2.5-72B],,historical_unresolved,
failure_id,item_105,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen2.5-7B],,historical_unresolved,
failure_id,item_106,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen3-0.6B],,historical_unresolved,
failure_id,item_107,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen3-1.7B],,historical_unresolved,
failure_id,item_108,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen3-235B-A22B],,historical_unresolved,
failure_id,item_109,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen3-32B],,historical_unresolved,
failure_id,item_110,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-Qwen/Qwen3-8B],,historical_unresolved,
failure_id,item_111,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-deepseek-ai/DeepSeek-V3],,historical_unresolved,
failure_id,item_112,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-meta-llama/Llama-2-13b-hf],,historical_unresolved,
failure_id,item_113,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-meta-llama/Llama-2-70b-hf],,historical_unresolved,
failure_id,item_114,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-meta-llama/Llama-2-7b-hf],,historical_unresolved,
failure_id,item_115,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-meta-llama/Meta-Llama-3.1-405B],,historical_unresolved,
failure_id,item_116,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-meta-llama/Meta-Llama-3.1-70B],,historical_unresolved,
failure_id,item_117,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-meta-llama/Meta-Llama-3.1-8B],,historical_unresolved,
failure_id,item_118,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-mistralai/Mixtral-8x22B-v0.1],,historical_unresolved,
failure_id,item_119,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-mistralai/Mixtral-8x7B-v0.1],,historical_unresolved,
failure_id,item_120,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[sglang-l40s-nvidia/Llama-3_3-Nemotron-Super-49B-v1],,historical_unresolved,
failure_id,item_121,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen2.5-1.5B],,historical_unresolved,
failure_id,item_122,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen2.5-32B],,historical_unresolved,
failure_id,item_123,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen2.5-72B],,historical_unresolved,
failure_id,item_124,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen2.5-7B],,historical_unresolved,
failure_id,item_125,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen3-0.6B],,historical_unresolved,
failure_id,item_126,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen3-1.7B],,historical_unresolved,
failure_id,item_127,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen3-235B-A22B],,historical_unresolved,
failure_id,item_128,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen3-32B],,historical_unresolved,
failure_id,item_129,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-Qwen/Qwen3-8B],,historical_unresolved,
failure_id,item_130,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-deepseek-ai/DeepSeek-V3],,historical_unresolved,
failure_id,item_131,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-meta-llama/Llama-2-13b-hf],,historical_unresolved,
failure_id,item_132,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-meta-llama/Llama-2-70b-hf],,historical_unresolved,
failure_id,item_133,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-meta-llama/Llama-2-7b-hf],,historical_unresolved,
failure_id,item_134,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-meta-llama/Meta-Llama-3.1-405B],,historical_unresolved,
failure_id,item_135,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-meta-llama/Meta-Llama-3.1-70B],,historical_unresolved,
failure_id,item_136,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-meta-llama/Meta-Llama-3.1-8B],,historical_unresolved,
failure_id,item_137,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-mistralai/Mixtral-8x22B-v0.1],,historical_unresolved,
failure_id,item_138,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-mistralai/Mixtral-8x7B-v0.1],,historical_unresolved,
failure_id,item_139,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-a100_sxm-nvidia/Llama-3_3-Nemotron-Super-49B-v1],,historical_unresolved,
failure_id,item_140,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-b200_sxm-Qwen/Qwen2.5-1.5B],,historical_unresolved,
failure_id,item_141,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-b200_sxm-Qwen/Qwen2.5-32B],,historical_unresolved,
failure_id,item_142,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-b200_sxm-Qwen/Qwen2.5-72B],,historical_unresolved,
failure_id,item_143,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-b200_sxm-Qwen/Qwen2.5-7B],,historical_unresolved,
failure_id,item_144,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-b200_sxm-Qwen/Qwen3-0.6B],,historical_unresolved,
failure_id,item_145,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-b200_sxm-Qwen/Qwen3-1.7B],,historical_unresolved,
failure_id,item_146,tests.e2e.cli.test_cli_compat_matrix.TestModelSystemCombinations::test_model_system_combination[trtllm-b200_sxm-Qwen/Qwen3-235B-A22B],,historical_unresolved,
