Iteration(0): 1 context requests, 8000 context tokens, 0 generation requests, 0 generation tokens, iteration elapsed time: 1207.40 ms
Iteration(32): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.42 ms
Iteration(33): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.81 ms
Iteration(34): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.69 ms
Iteration(35): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.56 ms
Iteration(36): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.67 ms
Iteration(37): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.49 ms
Iteration(38): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.26 ms
Iteration(39): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.76 ms
Iteration(40): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.62 ms
Iteration(41): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.58 ms
Iteration(42): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.92 ms
Iteration(43): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.67 ms
Iteration(44): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.38 ms
Iteration(45): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.74 ms
Iteration(46): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.73 ms
Iteration(47): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.21 ms
Iteration(48): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.67 ms
Iteration(49): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.30 ms
Iteration(50): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.72 ms
Iteration(51): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.87 ms
Iteration(52): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.85 ms
Iteration(53): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.70 ms
Iteration(54): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.22 ms
Iteration(55): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.23 ms
Iteration(56): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.64 ms
Iteration(57): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.88 ms
Iteration(58): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.68 ms
Iteration(59): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.85 ms
Iteration(60): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.49 ms
Iteration(61): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.97 ms
Iteration(62): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.56 ms
Iteration(63): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.74 ms
Iteration(64): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.15 ms
Iteration(65): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.08 ms
Iteration(66): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.66 ms
Iteration(67): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.17 ms
Iteration(68): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.88 ms
Iteration(69): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.51 ms
Iteration(70): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.35 ms
Iteration(71): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.58 ms
Iteration(72): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.12 ms
Iteration(73): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.86 ms
Iteration(74): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.04 ms
Iteration(75): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.55 ms
Iteration(76): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.09 ms
Iteration(77): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.90 ms
Iteration(78): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.89 ms
Iteration(79): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.35 ms
Iteration(80): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.04 ms
Iteration(81): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.96 ms
Iteration(82): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 30.73 ms
Iteration(83): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.68 ms
Iteration(84): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.17 ms
Iteration(85): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.42 ms
Iteration(86): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.14 ms
Iteration(87): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.30 ms
Iteration(88): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.03 ms
Iteration(89): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.35 ms
Iteration(90): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.70 ms
Iteration(91): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.39 ms
Iteration(92): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.00 ms
Iteration(93): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.62 ms
Iteration(94): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.98 ms
Iteration(95): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.78 ms
Iteration(96): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.11 ms
Iteration(97): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.42 ms
Iteration(98): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.83 ms
Iteration(99): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.48 ms
Iteration(100): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.40 ms
Iteration(101): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.45 ms
Iteration(102): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.68 ms
Iteration(103): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.51 ms
Iteration(104): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.85 ms
Iteration(105): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.92 ms
Iteration(106): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.10 ms
Iteration(107): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.13 ms
Iteration(108): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.49 ms
Iteration(109): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.16 ms
Iteration(110): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.55 ms
Iteration(111): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.40 ms
Iteration(112): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.30 ms
Iteration(113): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.38 ms
Iteration(114): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.30 ms
Iteration(115): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.90 ms
Iteration(116): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.71 ms
Iteration(117): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.30 ms
Iteration(118): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.74 ms
Iteration(119): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.92 ms
Iteration(120): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.52 ms
Iteration(121): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.17 ms
Iteration(122): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.02 ms
Iteration(123): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.22 ms
Iteration(124): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.01 ms
Iteration(125): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.82 ms
Iteration(126): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.33 ms
Iteration(127): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.76 ms
Iteration(128): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.11 ms
Iteration(129): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.12 ms
Iteration(130): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.65 ms
Iteration(131): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.23 ms
Iteration(132): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.07 ms
Iteration(133): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.64 ms
Iteration(134): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.26 ms
Iteration(135): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.57 ms
Iteration(136): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.53 ms
Iteration(137): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.87 ms
Iteration(138): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.34 ms
Iteration(139): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.59 ms
Iteration(140): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.00 ms
Iteration(141): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.56 ms
Iteration(142): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.18 ms
Iteration(143): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.25 ms
Iteration(144): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.54 ms
Iteration(145): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.01 ms
Iteration(146): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 19.31 ms
Iteration(147): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.18 ms
Iteration(148): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.01 ms
Iteration(149): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.04 ms
Iteration(150): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.45 ms
Iteration(151): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.34 ms
Iteration(152): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.28 ms
Iteration(153): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.52 ms
Iteration(154): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.55 ms
Iteration(155): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.04 ms
Iteration(156): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.54 ms
Iteration(157): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.73 ms
Iteration(158): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.65 ms
Iteration(159): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.68 ms
Iteration(160): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.88 ms
Iteration(161): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.58 ms
Iteration(162): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.30 ms
Iteration(163): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.28 ms
Iteration(164): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.08 ms
Iteration(165): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.42 ms
Iteration(166): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 33.16 ms
Iteration(167): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.26 ms
Iteration(168): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.84 ms
Iteration(169): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.53 ms
Iteration(170): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.06 ms
Iteration(171): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.79 ms
Iteration(172): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 33.06 ms
Iteration(173): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.51 ms
Iteration(174): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.67 ms
Iteration(175): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.78 ms
Iteration(176): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.50 ms
Iteration(177): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.71 ms
Iteration(178): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.64 ms
Iteration(179): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.85 ms
Iteration(180): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.71 ms
Iteration(181): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.67 ms
Iteration(182): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.52 ms
Iteration(183): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.65 ms
Iteration(184): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 33.27 ms
Iteration(185): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.31 ms
Iteration(186): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.16 ms
Iteration(187): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.62 ms
Iteration(188): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.75 ms
Iteration(189): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.90 ms
Iteration(190): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.81 ms
Iteration(191): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.03 ms
Iteration(192): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.44 ms
Iteration(193): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.90 ms
Iteration(194): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.41 ms
Iteration(195): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.79 ms
Iteration(196): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.68 ms
Iteration(197): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.72 ms
Iteration(198): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.24 ms
Iteration(199): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.30 ms
Iteration(200): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.15 ms
Iteration(201): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.42 ms
Iteration(202): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.10 ms
Iteration(203): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.82 ms
Iteration(204): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.32 ms
Iteration(205): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.61 ms
Iteration(206): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.81 ms
Iteration(207): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.03 ms
Iteration(208): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.30 ms
Iteration(209): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.92 ms
Iteration(210): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.09 ms
Iteration(211): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.67 ms
Iteration(212): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.15 ms
Iteration(213): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.90 ms
Iteration(214): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.08 ms
Iteration(215): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.93 ms
Iteration(216): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.83 ms
Iteration(217): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.40 ms
Iteration(218): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.30 ms
Iteration(219): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.92 ms
Iteration(220): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.76 ms
Iteration(221): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.18 ms
Iteration(222): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.27 ms
Iteration(223): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.71 ms
Iteration(224): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.12 ms
Iteration(225): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.09 ms
Iteration(226): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.44 ms
Iteration(227): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.17 ms
Iteration(228): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.14 ms
Iteration(229): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.87 ms
Iteration(230): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.12 ms
Iteration(231): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.04 ms
Iteration(232): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.68 ms
Iteration(233): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 33.22 ms
Iteration(234): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.50 ms
Iteration(235): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.75 ms
Iteration(236): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.51 ms
Iteration(237): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.70 ms
Iteration(238): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.83 ms
Iteration(239): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.74 ms
Iteration(240): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.35 ms
Iteration(241): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.79 ms
Iteration(242): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.70 ms
Iteration(243): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.66 ms
Iteration(244): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 33.44 ms
Iteration(245): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 32.49 ms
Iteration(246): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 33.00 ms
Iteration(247): 0 context requests, 0 context tokens, 128 generation requests, 128 generation tokens, iteration elapsed time: 31.95 ms
